blank,pnum,age,gender,fam_income,study,trial,food_gen,bites,grams
x,18,6.03,M,,1_healthy_unh,1,healthier,10,24.9
x,30,6.31,F,,1_healthy_unh,1,healthier,0,0.2
x,36,5.09,F,,1_healthy_unh,1,healthier,3,0.7
x,38,5.59,F,,1_healthy_unh,1,healthier,1,0.3
x,39,5.6,F,,1_healthy_unh,1,healthier,1,0.7
x,42,5.42,M,,1_healthy_unh,1,healthier,5,8.9
x,45,5.05,M,,1_healthy_unh,1,healthier,1,3
x,55,6.64,F,,1_healthy_unh,1,healthier,2,11.8
x,81,6.12,M,,1_healthy_unh,1,healthier,0,0
x,83,6.07,F,,1_healthy_unh,1,healthier,0,0
x,84,5.28,M,,1_healthy_unh,1,healthier,8,34
x,96,5.34,M,,1_healthy_unh,1,healthier,6,26
x,112,6.82,M,4,1_healthy_unh,1,healthier,0,0.2
x,118,6.41,M,4,1_healthy_unh,1,healthier,0,0
x,119,5.91,M,4,1_healthy_unh,1,healthier,0,0.2
x,121,6.87,F,4,1_healthy_unh,1,healthier,2,5
x,123,5.07,F,7,1_healthy_unh,1,healthier,0,0
x,125,5.27,F,8,1_healthy_unh,1,healthier,7,28.8
x,501,6.69,M,8,1_healthy_unh,1,healthier,3,2.7
x,506,5.32,M,7,1_healthy_unh,1,healthier,2,10.3
x,510,5.72,M,8,1_healthy_unh,1,healthier,5,21.1
x,512,5.11,F,9,1_healthy_unh,1,healthier,0,0.1
x,514,5.28,F,7,1_healthy_unh,1,healthier,5,19
x,517,6.63,M,9,1_healthy_unh,1,healthier,7,24.2
x,520,6.75,M,5,1_healthy_unh,1,healthier,1,0.4
x,522,5.88,F,8,1_healthy_unh,1,healthier,4,26.1
x,524,6.78,F,6,1_healthy_unh,1,healthier,1,3.4
x,525,5.95,F,6,1_healthy_unh,1,healthier,0,0.1
x,526,5.33,M,7,1_healthy_unh,1,healthier,0,0.1
x,535,6.7,F,9,1_healthy_unh,1,healthier,1,1.1
x,537,6.21,M,7,1_healthy_unh,1,healthier,0,0.1
x,544,6.51,F,9,1_healthy_unh,1,healthier,6,16.8
x,18,6.03,M,,1_healthy_unh,2,healthier,3,0.9
x,30,6.31,F,,1_healthy_unh,2,healthier,0,0.2
x,36,5.09,F,,1_healthy_unh,2,healthier,1,1.2
x,38,5.59,F,,1_healthy_unh,2,healthier,3,10
x,39,5.6,F,,1_healthy_unh,2,healthier,1,2.2
x,42,5.42,M,,1_healthy_unh,2,healthier,1,0.3
x,45,5.05,M,,1_healthy_unh,2,healthier,1,1.7
x,55,6.64,F,,1_healthy_unh,2,healthier,5,14.1
x,81,6.12,M,,1_healthy_unh,2,healthier,0,0.2
x,83,6.07,F,,1_healthy_unh,2,healthier,0,0
x,84,5.28,M,,1_healthy_unh,2,healthier,10,37.6
x,96,5.34,M,,1_healthy_unh,2,healthier,6,36.2
x,112,6.82,M,4,1_healthy_unh,2,healthier,0,0.2
x,118,6.41,M,4,1_healthy_unh,2,healthier,0,0.1
x,119,5.91,M,4,1_healthy_unh,2,healthier,5,9
x,121,6.87,F,4,1_healthy_unh,2,healthier,2,7.7
x,123,5.07,F,7,1_healthy_unh,2,healthier,6,31.3
x,125,5.27,F,8,1_healthy_unh,2,healthier,10,47.6
x,501,6.69,M,8,1_healthy_unh,2,healthier,9,45.1
x,506,5.32,M,7,1_healthy_unh,2,healthier,1,5.1
x,510,5.72,M,8,1_healthy_unh,2,healthier,12,38.4
x,512,5.11,F,9,1_healthy_unh,2,healthier,1,1.8
x,514,5.28,F,7,1_healthy_unh,2,healthier,5,27.2
x,517,6.63,M,9,1_healthy_unh,2,healthier,10,49.5
x,520,6.75,M,5,1_healthy_unh,2,healthier,1,0.6
x,522,5.88,F,8,1_healthy_unh,2,healthier,8,48.2
x,524,6.78,F,6,1_healthy_unh,2,healthier,5,21.9
x,525,5.95,F,6,1_healthy_unh,2,healthier,0,0.1
x,526,5.33,M,7,1_healthy_unh,2,healthier,0,0.1
x,535,6.7,F,9,1_healthy_unh,2,healthier,1,13.8
x,537,6.21,M,7,1_healthy_unh,2,healthier,1,2.5
x,544,6.51,F,9,1_healthy_unh,2,healthier,12,47.4
x,18,6.03,M,,1_healthy_unh,2,less_healthy,1,0.5
x,30,6.31,F,,1_healthy_unh,2,less_healthy,0,0.2
x,36,5.09,F,,1_healthy_unh,2,less_healthy,2,0.2
x,38,5.59,F,,1_healthy_unh,2,less_healthy,3,14.4
x,39,5.6,F,,1_healthy_unh,2,less_healthy,1,1.6
x,42,5.42,M,,1_healthy_unh,2,less_healthy,1,0.5
x,45,5.05,M,,1_healthy_unh,2,less_healthy,0,0
x,55,6.64,F,,1_healthy_unh,2,less_healthy,2,1
x,81,6.12,M,,1_healthy_unh,2,less_healthy,0,0.1
x,83,6.07,F,,1_healthy_unh,2,less_healthy,0,0
x,84,5.28,M,,1_healthy_unh,2,less_healthy,0,0
x,96,5.34,M,,1_healthy_unh,2,less_healthy,0,0.2
x,112,6.82,M,4,1_healthy_unh,2,less_healthy,0,0.1
x,118,6.41,M,4,1_healthy_unh,2,less_healthy,0,0
x,119,5.91,M,4,1_healthy_unh,2,less_healthy,0,0.1
x,121,6.87,F,4,1_healthy_unh,2,less_healthy,2,4.1
x,123,5.07,F,7,1_healthy_unh,2,less_healthy,0,0.1
x,125,5.27,F,8,1_healthy_unh,2,less_healthy,1,8.1
x,501,6.69,M,8,1_healthy_unh,2,less_healthy,1,1.3
x,506,5.32,M,7,1_healthy_unh,2,less_healthy,1,3.2
x,510,5.72,M,8,1_healthy_unh,2,less_healthy,2,10.5
x,512,5.11,F,9,1_healthy_unh,2,less_healthy,0,0.1
x,514,5.28,F,7,1_healthy_unh,2,less_healthy,5,26.1
x,517,6.63,M,9,1_healthy_unh,2,less_healthy,2,10.3
x,520,6.75,M,5,1_healthy_unh,2,less_healthy,1,0.6
x,522,5.88,F,8,1_healthy_unh,2,less_healthy,2,12.6
x,524,6.78,F,6,1_healthy_unh,2,less_healthy,5,22.9
x,525,5.95,F,6,1_healthy_unh,2,less_healthy,0,0.2
x,526,5.33,M,7,1_healthy_unh,2,less_healthy,0,0.1
x,535,6.7,F,9,1_healthy_unh,2,less_healthy,1,4.6
x,537,6.21,M,7,1_healthy_unh,2,less_healthy,4,12.8
x,544,6.51,F,9,1_healthy_unh,2,less_healthy,1,3.6
x,137,7.01,M,,2_MM_lab,1,healthier,0,0
x,138,6.14,M,,2_MM_lab,1,healthier,9,35.9
x,139,6.72,M,8,2_MM_lab,1,healthier,0,0
x,140,6.64,F,9,2_MM_lab,1,healthier,4,10.5
x,141,5.1,F,9,2_MM_lab,1,healthier,2,7.9
x,142,5.76,F,,2_MM_lab,1,healthier,1,1.1
x,143,5.39,F,6,2_MM_lab,1,healthier,1,0.9
x,144,5.19,F,5,2_MM_lab,1,healthier,0,0.1
x,145,5.49,F,8,2_MM_lab,1,healthier,4,19.4
x,146,5.07,M,4,2_MM_lab,1,healthier,20,36.7
x,147,5.21,F,,2_MM_lab,1,healthier,0,0.1
x,148,5.37,F,8,2_MM_lab,1,healthier,2,6.1
x,149,5.77,M,8,2_MM_lab,1,healthier,1,2.6
x,150,6.7,F,7,2_MM_lab,1,healthier,5,14.3
x,151,6.21,F,6,2_MM_lab,1,healthier,0,0.1
x,152,5.53,F,6,2_MM_lab,1,healthier,0,0
x,154,6.54,F,7,2_MM_lab,1,healthier,3,13
x,157,5.41,M,8,2_MM_lab,1,healthier,0,0.2
x,160,6.96,F,6,2_MM_lab,1,healthier,3,2.4
x,161,6.55,F,8,2_MM_lab,1,healthier,4,10
x,162,6.84,M,7,2_MM_lab,1,healthier,3,10.4
x,165,6.41,F,1,2_MM_lab,1,healthier,0,0.1
x,166,6.42,M,5,2_MM_lab,1,healthier,0,0
x,171,6.06,M,6,2_MM_lab,1,healthier,12,31.7
x,172,5.93,F,9,2_MM_lab,1,healthier,0,0.1
x,173,5.04,M,4,2_MM_lab,1,healthier,0,0.1
x,175,5.78,M,5,2_MM_lab,1,healthier,3,3
x,176,5.5,M,8,2_MM_lab,1,healthier,0,0.1
x,177,5.07,M,9,2_MM_lab,1,healthier,0,0.2
x,189,6.15,M,5,2_MM_lab,1,healthier,0,0.1
x,190,6.35,M,9,2_MM_lab,1,healthier,3,10.3
x,191,6.15,M,8,2_MM_lab,1,healthier,1,0.4
x,137,7.01,M,,2_MM_lab,1,less_healthy,0,0
x,138,6.14,M,,2_MM_lab,1,less_healthy,2,11.3
x,139,6.72,M,8,2_MM_lab,1,less_healthy,0,0
x,140,6.64,F,9,2_MM_lab,1,less_healthy,3,12.9
x,141,5.1,F,9,2_MM_lab,1,less_healthy,0,0.2
x,142,5.76,F,,2_MM_lab,1,less_healthy,1,0.8
x,143,5.39,F,6,2_MM_lab,1,less_healthy,0,0.1
x,144,5.19,F,5,2_MM_lab,1,less_healthy,0,0
x,145,5.49,F,8,2_MM_lab,1,less_healthy,5,21.4
x,146,5.07,M,4,2_MM_lab,1,less_healthy,0,0.1
x,147,5.21,F,,2_MM_lab,1,less_healthy,0,0.2
x,148,5.37,F,8,2_MM_lab,1,less_healthy,0,0
x,149,5.77,M,8,2_MM_lab,1,less_healthy,1,1.4
x,150,6.7,F,7,2_MM_lab,1,less_healthy,3,15.5
x,151,6.21,F,6,2_MM_lab,1,less_healthy,0,0.1
x,152,5.53,F,6,2_MM_lab,1,less_healthy,0,0.1
x,154,6.54,F,7,2_MM_lab,1,less_healthy,3,4.2
x,157,5.41,M,8,2_MM_lab,1,less_healthy,2,7.5
x,160,6.96,F,6,2_MM_lab,1,less_healthy,1,1.5
x,161,6.55,F,8,2_MM_lab,1,less_healthy,1,5.7
x,162,6.84,M,7,2_MM_lab,1,less_healthy,0,0.3
x,165,6.41,F,1,2_MM_lab,1,less_healthy,0,0.2
x,166,6.42,M,5,2_MM_lab,1,less_healthy,0,0.1
x,171,6.06,M,6,2_MM_lab,1,less_healthy,0,0.2
x,172,5.93,F,9,2_MM_lab,1,less_healthy,0,0
x,173,5.04,M,4,2_MM_lab,1,less_healthy,0,0.1
x,175,5.78,M,5,2_MM_lab,1,less_healthy,1,1.3
x,176,5.5,M,8,2_MM_lab,1,less_healthy,0,0.1
x,177,5.07,M,9,2_MM_lab,1,less_healthy,0,0.1
x,189,6.15,M,5,2_MM_lab,1,less_healthy,0,0.2
x,190,6.35,M,9,2_MM_lab,1,less_healthy,3,8.7
x,191,6.15,M,8,2_MM_lab,1,less_healthy,1,0.5
x,137,7.01,M,,2_MM_lab,2,healthier,0,0.1
x,138,6.14,M,,2_MM_lab,2,healthier,10,50.8
x,139,6.72,M,8,2_MM_lab,2,healthier,0,0.1
x,140,6.64,F,9,2_MM_lab,2,healthier,8,26.4
x,141,5.1,F,9,2_MM_lab,2,healthier,8,27.4
x,142,5.76,F,,2_MM_lab,2,healthier,2,3.8
x,143,5.39,F,6,2_MM_lab,2,healthier,1,3.1
x,144,5.19,F,5,2_MM_lab,2,healthier,0,0.2
x,145,5.49,F,8,2_MM_lab,2,healthier,4,29.8
x,146,5.07,M,4,2_MM_lab,2,healthier,15,47.4
x,147,5.21,F,,2_MM_lab,2,healthier,0,0
x,148,5.37,F,8,2_MM_lab,2,healthier,1,7.9
x,149,5.77,M,8,2_MM_lab,2,healthier,1,2.8
x,150,6.7,F,7,2_MM_lab,2,healthier,4,25.2
x,151,6.21,F,6,2_MM_lab,2,healthier,0,0.1
x,152,5.53,F,6,2_MM_lab,2,healthier,1,0.8
x,154,6.54,F,7,2_MM_lab,2,healthier,8,23.7
x,157,5.41,M,8,2_MM_lab,2,healthier,5,32
x,160,6.96,F,6,2_MM_lab,2,healthier,5,3.7
x,161,6.55,F,8,2_MM_lab,2,healthier,1,7.4
x,162,6.84,M,7,2_MM_lab,2,healthier,9,33.3
x,165,6.41,F,1,2_MM_lab,2,healthier,1,6.6
x,166,6.42,M,5,2_MM_lab,2,healthier,0,0
x,171,6.06,M,6,2_MM_lab,2,healthier,9,40.2
x,172,5.93,F,9,2_MM_lab,2,healthier,1,2.5
x,173,5.04,M,4,2_MM_lab,2,healthier,0,0.1
x,175,5.78,M,5,2_MM_lab,2,healthier,6,20.2
x,176,5.5,M,8,2_MM_lab,2,healthier,0,0.1
x,177,5.07,M,9,2_MM_lab,2,healthier,0,0.2
x,189,6.15,M,5,2_MM_lab,2,healthier,0,0.1
x,190,6.35,M,9,2_MM_lab,2,healthier,2,6.8
x,191,6.15,M,8,2_MM_lab,2,healthier,1,0.5
x,137,7.01,M,,2_MM_lab,2,less_healthy,0,0.1
x,138,6.14,M,,2_MM_lab,2,less_healthy,1,12
x,139,6.72,M,8,2_MM_lab,2,less_healthy,0,0.1
x,140,6.64,F,9,2_MM_lab,2,less_healthy,6,18.3
x,141,5.1,F,9,2_MM_lab,2,less_healthy,0,0.2
x,142,5.76,F,,2_MM_lab,2,less_healthy,2,5.3
x,143,5.39,F,6,2_MM_lab,2,less_healthy,1,1.6
x,144,5.19,F,5,2_MM_lab,2,less_healthy,0,0.1
x,145,5.49,F,8,2_MM_lab,2,less_healthy,5,18.7
x,146,5.07,M,4,2_MM_lab,2,less_healthy,0,0.2
x,147,5.21,F,,2_MM_lab,2,less_healthy,0,0.1
x,148,5.37,F,8,2_MM_lab,2,less_healthy,4,21.4
x,149,5.77,M,8,2_MM_lab,2,less_healthy,1,1.2
x,150,6.7,F,7,2_MM_lab,2,less_healthy,4,25.3
x,151,6.21,F,6,2_MM_lab,2,less_healthy,0,0.1
x,152,5.53,F,6,2_MM_lab,2,less_healthy,1,4.8
x,154,6.54,F,7,2_MM_lab,2,less_healthy,1,4.3
x,157,5.41,M,8,2_MM_lab,2,less_healthy,0,0.3
x,160,6.96,F,6,2_MM_lab,2,less_healthy,1,1
x,161,6.55,F,8,2_MM_lab,2,less_healthy,4,19.3
